ticker,industry
SVVB,Banks (Regional)
SBFG,Banks (Regional)
SBCF,Banks (Regional)
SCYT,Banks (Regional)
SFDL,Banks (Regional)
SNLC,Banks (Regional)
SFBS,Banks (Regional)
SHBI,Banks (Regional)
BSRR,Banks (Regional)
SBNY,Banks (Regional)
SGBG,Banks (Regional)
SI,Banks (Regional)
SFNC,Banks (Regional)
SMBK,Banks (Regional)
SLRK,Banks (Regional)
SOBS,Banks (Regional)
SOME,Banks (Regional)
SOHI,Banks (Regional)
SFBC,Banks (Regional)
SABK,Banks (Regional)
SPFI,Banks (Regional)
SEBC,Banks (Regional)
BCAL,Banks (Regional)
SFST,Banks (Regional)
SOMC,Banks (Regional)
SSBK,Banks (Regional)
SOUB,Banks (Regional)
SBSI,Banks (Regional)
SSB,Banks (Regional)
SSBP,Banks (Regional)
STEL,Banks (Regional)
SYBT,Banks (Regional)
STBI,Banks (Regional)
SMAL,Banks (Regional)
SBKO,Banks (Regional)
SMMF,Banks (Regional)
SSBI,Banks (Regional)
SRYB,Banks (Regional)
SQCF,Banks (Regional)
SVBT,Banks (Regional)
SIVB,Banks (Regional)
SNV,Banks (Regional)
TVLF,Banks (Regional)
TCBI,Banks (Regional)
ADKT,Banks (Regional)
TBBK,Banks (Regional)
BPRN,Banks (Regional)
BAOB,Banks (Regional)
TCFC,Banks (Regional)
FBPA,Banks (Regional)
FNLC,Banks (Regional)
FBMS,Banks (Regional)
FLIC,Banks (Regional)
PNC,Banks (Regional)
SRNN,Banks (Regional)
VTYB,Banks (Regional)
TDCB,Banks (Regional)
TCBX,Banks (Regional)
THVB,Banks (Regional)
TMP,Banks (Regional)
TMAK,Banks (Regional)
TSBA,Banks (Regional)
TWCF,Banks (Regional)
TCNB,Banks (Regional)
TOWN,Banks (Regional)
TRBK,Banks (Regional)
TRCY,Banks (Regional)
TYFG,Banks (Regional)
TBBC,Banks (Regional)
TCBK,Banks (Regional)
TYBT,Banks (Regional)
TFIN,Banks (Regional)
TFC,Banks (Regional)
TRMK,Banks (Regional)
TRUX,Banks (Regional)
TRVR,Banks (Regional)
UNIF,Banks (Regional)
UMBF,Banks (Regional)
UMPQ,Banks (Regional)
UNB,Banks (Regional)
UBCP,Banks (Regional)
UBAB,Banks (Regional)
UBOH,Banks (Regional)
UBSI,Banks (Regional)
UCBI,Banks (Regional)
UBFO,Banks (Regional)
UNTY,Banks (Regional)
UNIB,Banks (Regional)
UVSP,Banks (Regional)
USMT,Banks (Regional)
USCB,Banks (Regional)
UWHR,Banks (Regional)
VLY,Banks (Regional)
VBTX,Banks (Regional)
VBFC,Banks (Regional)
VABK,Banks (Regional)
WTBF.B,Banks (Regional)
WAFD,Banks (Regional)
WASH,Banks (Regional)
WBS,Banks (Regional)
WSBC,Banks (Regional)
WTBA,Banks (Regional)
WSSH,Banks (Regional)
WABC,Banks (Regional)
WAL,Banks (Regional)
WRIV,Banks (Regional)
WTFC,Banks (Regional)
WDFN,Banks (Regional)
WOBK,Banks (Regional)
ZION,Banks (Regional)
ASCC,Beverage (Alcoholic)
BF.B,Beverage (Alcoholic)
FPWM,Beverage (Alcoholic)
STZ,Beverage (Alcoholic)
CWGL,Beverage (Alcoholic)
EAST,Beverage (Alcoholic)
VINE,Beverage (Alcoholic)
ICNB,Beverage (Alcoholic)
MGPI,Beverage (Alcoholic)
MLMN,Beverage (Alcoholic)
TAP,Beverage (Alcoholic)
NGCG,Beverage (Alcoholic)
PARG,Beverage (Alcoholic)
RSAU,Beverage (Alcoholic)
SBES,Beverage (Alcoholic)
SBEV,Beverage (Alcoholic)
SAM,Beverage (Alcoholic)
NAPA,Beverage (Alcoholic)
THST,Beverage (Alcoholic)
VWE,Beverage (Alcoholic)
VDKB,Beverage (Alcoholic)
WVVI,Beverage (Alcoholic)
WBEV.Q,Beverage (Alcoholic)
ALKM,Beverage (Soft)
APRU,Beverage (Soft)
CELH,Beverage (Soft)
CIRX,Beverage (Soft)
COKE,Beverage (Soft)
DNAX,Beverage (Soft)
MOJO,Beverage (Soft)
FBEC,Beverage (Soft)
FHBC,Beverage (Soft)
FMBV,Beverage (Soft)
GOGY,Beverage (Soft)
GHMP,Beverage (Soft)
INKW,Beverage (Soft)
TBEV,Beverage (Soft)
JSDA,Beverage (Soft)
KDP,Beverage (Soft)
MINE,Beverage (Soft)
MNST,Beverage (Soft)
FIZZ,Beverage (Soft)
DRNK,Beverage (Soft)
NTEI,Beverage (Soft)
PEP,Beverage (Soft)
PRMW,Beverage (Soft)
REED,Beverage (Soft)
RMHB,Beverage (Soft)
RSHN,Beverage (Soft)
SPBV,Beverage (Soft)
WTER,Beverage (Soft)
KO,Beverage (Soft)
COCO,Beverage (Soft)
ZVIA,Beverage (Soft)
FOX,Broadcasting
AMCX,Broadcasting
AUD,Broadcasting
BBGI,Broadcasting
CCLX,Broadcasting
CBMJ,Broadcasting
CMLS,Broadcasting
EMMS,Broadcasting
EVC,Broadcasting
FOXA,Broadcasting
GTN,Broadcasting
IHRT,Broadcasting
LUDG,Broadcasting
MDEX,Broadcasting
MDIA,Broadcasting
NXST,Broadcasting
PARA,Broadcasting
SGA,Broadcasting
SALM,Broadcasting
SBGI,Broadcasting
SBSA.A,Broadcasting
TGNA,Broadcasting
SSP,Broadcasting
TMGI,Broadcasting
TSQ,Broadcasting
UONE.K,Broadcasting
URBT,Broadcasting
AAMT.F,Brokerage & Investment Banking
RILY,Brokerage & Investment Banking
BGCP,Brokerage & Investment Banking
BEGI,Brokerage & Investment Banking
COWN,Brokerage & Investment Banking
EQTD,Brokerage & Investment Banking
EVR,Brokerage & Investment Banking
GHL,Brokerage & Investment Banking
HLI,Brokerage & Investment Banking
IBKR,Brokerage & Investment Banking
JEF,Brokerage & Investment Banking
LPLA,Brokerage & Investment Banking
LVPA,Brokerage & Investment Banking
MC,Brokerage & Investment Banking
MGHL,Brokerage & Investment Banking
MS,Brokerage & Investment Banking
OPY,Brokerage & Investment Banking
PWP,Brokerage & Investment Banking
PIPR,Brokerage & Investment Banking
PJT,Brokerage & Investment Banking
RJF,Brokerage & Investment Banking
HOOD,Brokerage & Investment Banking
SIEB,Brokerage & Investment Banking
SBDG,Brokerage & Investment Banking
SF,Brokerage & Investment Banking
SNEX,Brokerage & Investment Banking
SCHW,Brokerage & Investment Banking
GS,Brokerage & Investment Banking
VIRT,Brokerage & Investment Banking
WSFL,Brokerage & Investment Banking
ALLE,Building Materials
JCI,Building Materials
TT,Building Materials
AOS,Building Materials
AAON,Building Materials
WMS,Building Materials
AERC,Building Materials
AMWD,Building Materials
APOG,Building Materials
AUVI,Building Materials
AFII.Q,Building Materials
AWI,Building Materials
BLDR,Building Materials
BURC.A,Building Materials
CSL,Building Materials
CARR,Building Materials
CEAD,Building Materials
CSWI,Building Materials
DLYT,Building Materials
FBIN,Building Materials
MNIZ,Building Materials
ROCK,Building Materials
GFF,Building Materials
HAYW,Building Materials
HMTC,Building Materials
IVST,Building Materials
IIIN,Building Materials
JBI,Building Materials
JELD,Building Materials
JCTC.F,Building Materials
LII,Building Materials
LGNC,Building Materials
MAS,Building Materials
DOOR,Building Materials
MBC,Building Materials
OC,Building Materials
PGTI,Building Materials
NX,Building Materials
RWC,Building Materials
REZI,Building Materials
SNTE,Building Materials
SSD,Building Materials
TGEN,Building Materials
AZEK,Building Materials
TREX,Building Materials
UFPI,Building Materials
VIEW,Building Materials
ZWS,Building Materials
ACN,Business & Consumer Services
EIGH,Business & Consumer Services
ACVA,Business & Consumer Services
ADMQ,Business & Consumer Services
ADT,Business & Consumer Services
AERS,Business & Consumer Services
AFDG,Business & Consumer Services
AGDY,Business & Consumer Services
AIMH,Business & Consumer Services
ALIT,Business & Consumer Services
ALYI,Business & Consumer Services
AMMJ,Business & Consumer Services
AMSA,Business & Consumer Services
ASGN,Business & Consumer Services
ATIF,Business & Consumer Services
ATCX,Business & Consumer Services
AUR,Business & Consumer Services
BBSI,Business & Consumer Services
BGSF,Business & Consumer Services
BKSY,Business & Consumer Services
BLDV,Business & Consumer Services
BLPG,Business & Consumer Services
BWVI,Business & Consumer Services
BAH,Business & Consumer Services
BRVO,Business & Consumer Services
CACI,Business & Consumer Services
CGRW,Business & Consumer Services
CDIX,Business & Consumer Services
CSV,Business & Consumer Services
CBZ,Business & Consumer Services
CTAS,Business & Consumer Services
CVEO,Business & Consumer Services
CPRT,Business & Consumer Services
CXW,Business & Consumer Services
CIPI,Business & Consumer Services
CSGP,Business & Consumer Services
CRAI,Business & Consumer Services
DCAC,Business & Consumer Services
DLHC,Business & Consumer Services
DRVN,Business & Consumer Services
DNB,Business & Consumer Services
ECOX,Business & Consumer Services
ECDD,Business & Consumer Services
ELNX,Business & Consumer Services
EXPL,Business & Consumer Services
A950140,Business & Consumer Services
EBWK,Business & Consumer Services
EFX,Business & Consumer Services
EWCZ,Business & Consumer Services
EXPO,Business & Consumer Services
FA,Business & Consumer Services
NOTE,Business & Consumer Services
FOMC,Business & Consumer Services
FDFT,Business & Consumer Services
FORR,Business & Consumer Services
FC,Business & Consumer Services
FTDR,Business & Consumer Services
FCN,Business & Consumer Services
FTRS,Business & Consumer Services
